eff (-),eff err,Energy (det)
0.00614,9.42E-05,122.061
0.00623,1.09E-04,136.486
0.00462,1.63E-04,87.955
0.0037,1.82E-04,79.466
0.00365,4.91E-05,80.907
0.00605,5.27E-04,160.67
0.00488,5.49E-04,223.438
0.00397,6.92E-05,276.585
0.00352,4.28E-05,303.06
0.00298,2.71E-05,356.24
0.00269,4.70E-05,384.071
0.00171,1.76E-05,661.672
0.00585,4.08E-05,121.79
0.0042,3.32E-05,244.876
0.00333,1.21E-04,296.123
0.003,4.94E-05,344.543
0.00285,6.46E-05,368.065
0.0024,3.07E-05,411.393
0.00251,3.24E-05,444.232
0.002,1.00E-04,488.876
0.00182,1.01E-04,564.21
0.00213,2.62E-04,566.611
0.00176,9.58E-05,586.436
0.00168,1.40E-04,674.937
0.00147,7.64E-05,678.705
0.00145,5.19E-05,688.692
0.00151,1.60E-04,719.299
0.0013,1.06E-05,775.125
0.00114,1.37E-05,59.453
0.00559,2.55E-04,98.945
0.00555,2.56E-04,102.856
