effectivity,eff err,Energy (detec)
0.00614,0.25,122.061
0.00623,0.5,136.486
0.00462,0.8,87.955
0.00472,0.9,80.907
0.00514,1.6,276.585
0.00455,1,303.06
0.00386,0.61,356.24
0.00348,1.6,384.071
0.00171,0.43,661.672
0.00585,0.2,121.79
0.0042,0.4,244.876
0.00333,3.4,296.123
0.003,0.23,344.543
0.00285,2.1,368.065
0.0024,1.1,411.393
0.00251,0.9,444.232
0.002,4.9,488.876
0.00182,5.4,564.21
0.00176,5.3,586.436
0.00147,5.1,678.705
0.00145,3.4,688.692
0.0013,0.5,775.125
0.00114,0.25,59.453
0.00559,4.1,98.945
0.00555,4.1,102.856
