effectivity,eff err,Energy (detec)
6.14E-03,0.2828538518,122.061
6.23E-03,0.7071481224,136.486
4.62E-03,1.131715831,87.955
4.78E-03,6.081161926,79.466
4.72E-03,1.27281922,80.907
7.82E-03,12.1622432,160.67
6.31E-03,15.83919458,223.438
5.14E-03,2.262745093,276.585
4.55E-03,1.414219446,303.06
3.86E-03,0.8485371549,356.24
3.48E-03,2.262745498,384.071
1.71E-03,0.5656911158,661.672
5.85E-03,0.282858025,121.79
4.20E-03,0.5656947348,244.876
3.33E-03,4.808339565,296.123
3.00E-03,0.2832527035,344.543
2.85E-03,2.969854875,368.065
2.40E-03,1.555637317,411.393
2.51E-03,1.272811698,444.232
2.00E-03,6.929650462,488.876
1.82E-03,7.636763372,564.21
2.13E-03,17.25341187,566.611
1.76E-03,7.49534008,586.436
1.68E-03,11.31373259,674.937
1.47E-03,7.212494463,678.705
1.45E-03,4.808335616,688.692
1.51E-03,14.42500719,719.299
1.30E-03,0.7071113139,775.125
1.14E-03,0.2830621207,59.453
5.59E-03,5.798309088,98.945
5.55E-03,5.798311892,102.856
