#Channel Energy Counts
0 24.7856 0
1 24.9575 0
2 25.1294 35467
3 25.3012 34410
4 25.4731 29655
5 25.6449 22056
6 25.8168 14403
7 25.9887 8488
8 26.1605 4933
9 26.3324 4005
10 26.5043 5649
11 26.6761 10479
12 26.848 18198
13 27.0198 29486
14 27.1917 44085
15 27.3636 61922
16 27.5354 83565
17 27.7073 116756
18 27.8792 171065
19 28.051 230263
20 28.2229 264923
21 28.3948 278957
22 28.5666 284362
23 28.7385 289444
24 28.9103 293511
25 29.0822 297543
26 29.2541 301239
27 29.4259 303867
28 29.5978 307039
29 29.7697 309219
30 29.9415 311090
31 30.1134 312679
32 30.2852 316664
33 30.4571 317381
34 30.629 319563
35 30.8008 319650
36 30.9727 322873
37 31.1446 324104
38 31.3164 324803
39 31.4883 325495
40 31.6601 327004
41 31.832 328679
42 32.0039 329970
43 32.1757 329984
44 32.3476 332203
45 32.5195 330889
46 32.6913 331161
47 32.8632 332819
48 33.035 333384
49 33.2069 332781
50 33.3788 333777
51 33.5506 334323
52 33.7225 334395
53 33.8944 335502
54 34.0662 334439
55 34.2381 334932
56 34.41 334439
57 34.5818 335681
58 34.7537 334722
59 34.9255 335151
60 35.0974 334121
61 35.2693 334931
62 35.4411 334707
63 35.613 334136
64 35.7849 333601
65 35.9567 333678
66 36.1286 331894
67 36.3004 332731
68 36.4723 332589
69 36.6442 330947
70 36.816 331319
71 36.9879 331509
72 37.1598 331009
73 37.3316 330821
74 37.5035 330667
75 37.6753 330785
76 37.8472 332340
77 38.0191 332105
78 38.1909 333652
79 38.3628 333996
80 38.5347 334165
81 38.7065 335435
82 38.8784 334967
83 39.0502 335271
84 39.2221 331316
85 39.394 329462
86 39.5658 325784
87 39.7377 321936
88 39.9096 315979
89 40.0814 312440
90 40.2533 307809
91 40.4252 303201
92 40.597 299307
93 40.7689 296556
94 40.9407 293239
95 41.1126 291858
96 41.2845 288862
97 41.4563 287772
98 41.6282 285557
99 41.8001 284974
100 41.9719 283994
101 42.1438 283129
102 42.3156 282088
103 42.4875 282977
104 42.6594 283049
105 42.8312 283589
106 43.0031 285447
107 43.175 288337
108 43.3468 291094
109 43.5187 293769
110 43.6905 298451
111 43.8624 302156
112 44.0343 307322
113 44.2061 309543
114 44.378 311117
115 44.5499 312806
116 44.7217 313162
117 44.8936 310999
118 45.0654 309058
119 45.2373 305734
120 45.4092 300230
121 45.581 296261
122 45.7529 291843
123 45.9248 287527
124 46.0966 282502
125 46.2685 278445
126 46.4403 274142
127 46.6122 271525
128 46.7841 267629
129 46.9559 265304
130 47.1278 263738
131 47.2997 261219
132 47.4715 259184
133 47.6434 258492
134 47.8153 256739
135 47.9871 256181
136 48.159 256121
137 48.3308 255454
138 48.5027 253406
139 48.6746 253618
140 48.8464 252347
141 49.0183 252508
142 49.1902 251386
143 49.362 250756
144 49.5339 251363
145 49.7057 249762
146 49.8776 249057
147 50.0495 249119
148 50.2213 248400
149 50.3932 247978
150 50.5651 247658
151 50.7369 247159
152 50.9088 246617
153 51.0806 245518
154 51.2525 245470
155 51.4244 245197
156 51.5962 244825
