                                                                                                             
                                                                                                             
Sample:                                                                                                      
Filename: C:\Dei   mos\b1depU _1_p3.Chn                                                                      
File created or    changed:    11/1/202                                                                      
No.of channels:          16100                                                                               
Measurement date   : 27/Oct/2 2     15:         1                                                            
Evaluated : 11/2   /2022 7:22 :17 PM                                                                         
Live time: 34301   0.0 s   Re al time:      433160 s        Dead     time      :  0.     09 %                
Counts total:  1       9916455 Input conts/se    c:                58                                        
            Sate   llite peak s:                                                                             
s10: 0.000  s11:    0.000  s1 2: 0.000                                                                       
d10:   2.5  d11:      4.0  d1 2:  10.0                                                                       
s20: 0.000  s21:    0.000  s2 2: 0.000                                                                       
d20:   0.0  d21:      0.0  d2 2:   0.0                                                                       
base: 0.0         0                                                                                          
                                                                                                             
            ENER   GY CALIBRA TION                                                                           
 6.583305948078E   +0000  4.9       ###         92  0.0             0         0         000  0              0         0
                                                                                                             
            FWHM    CALIBRATI ON                                                                             
 2.288496775628E   +0001  1.1       ###         53  0.0             0         0         0         0          
                                                                                                             
Energy: prelimin   ary linear  calibraton                                                                    
FWHM: preliminar   y linear c alibratio                                                                      
                                                                                                             
  channel  cherr       energy       are aerr%      fwhm     chisq     it       left        n       lim       isotope   
Chyba:510Chyba:510 Chyba:510  Chyba:510Chyba:510 Chyba:510 Chyba:510 Chyba:510 Chyba:510 Chyba:510 Chyba:510 Chyba:510 
  951.558         0     53.458   1625.7      23.6     20.52       0.9        20       892       124      2664
 1149.834     0.145     63.225  32061.1         2     24.36      1.42         8      1073       122      3453
 1342.051     1.987     72.694   1880.1      20.4     21.82      0.82        11      1264       160      3171
 1386.466     0.835     74.881   4700.2      13.2     21.87      0.82        11      1264       160      3302
 1573.706     0.718     84.105  12484.5       6.8     34.92      1.27        16      1492       167      5870
 1743.754       0.3     92.482 291047.6       6.5     26.63      3.04        26      1665       261      6098
 1752.729     2.031     92.924  48219.7      38.5     26.64      3.04        26      1665       261      6101
 1787.004     0.052     94.612 237408.3       0.4     26.68      3.04        26      1665       261      7204
 1863.728     0.023     98.392 444482.3       0.3     26.77      3.04        26      1665       261      6443
 2121.911     0.053     111.11 304307.4       0.4     41.96      10.5        23      2021       225      9686
 2189.395     0.107    114.434 132634.9       0.6     42.04      10.5        23      2021       225      8419
 2785.876     0.259    143.817  20010.5       3.2     26.46      0.91         9      2703       143      3843
 3184.293     0.403    163.443    12405       5.1     26.44      0.91        13      3104       137      3720
 3638.849     0.043    185.835 169587.2       0.5     26.94       1.1         8      3564       135      4088
 3975.425     1.302    202.415   3912.9       9.4     28.73      0.79        13      3907       200      3802
 4037.452      0.29    205.471  18523.5       3.4     28.81      0.79        13      3907       200      3898
  5114.32      0.33    258.518  14726.3       3.7     29.62      1.05        13      5032       155      3444
10246.385     0.955    511.326   9545.1       5.8     57.98      0.96        14      10135 196            457         4
11430.115     0.675    569.638   6394.7       5.8     38.92      0.96         8      11320 197            276         9
13901.948     1.264    691.402   2890.6      10.2      40.8      0.93        19      13782 222            236         0
14060.882     1.967    699.231   1737.6      11.7     38.49      1.08        13      13953 331            208         6
14119.254     1.773    702.106   1925.4      10.9     38.56      1.08        13      13953 331            210         5
14201.388     1.723    706.152   1887.1      11.4     38.66      1.08        13      13953 331            215         5
14753.905     1.237    733.369   2994.4         6     41.79      2.22         7      14652 391            231         0
14942.544     0.173    742.662  29016.5       1.4        42      2.22         7      14652 391            323         5
15395.782     0.065    764.989  98381.6       0.6      37.5      1.37         9      15276 186            338         8
15655.991     1.016    777.807   2712.8         6      32.6      1.13        22      15524 309            192         3
15725.537     0.196    781.233    17468       1.9     32.68      1.13        22      15524 309            233         9
